author_id,author_name,author_affiliation_name
37017127800,"Nuarrual, Nuarrual Hilal",Universiti Utara Malaysia
57201669184,"Tabassum, Nageena",Universiti Utara Malaysia
57200447679,"Aung, Zaw Zaw",Universiti Utara Malaysia
56104758700,"Al-Ghushami, Abdullah Hussein",Universiti Utara Malaysia
6504503295,"Jaafar, Othman",Universiti Utara Malaysia
56442664800,"Tein, Lim Huai",Universiti Utara Malaysia
55990781400,"Mohd Khan, Shazida Jan",Universiti Utara Malaysia
57197743313,"Al-Qammaz, Abdullah Yousef",Universiti Utara Malaysia
56416810700,"Khan, Abdul Qayyum",Universiti Utara Malaysia
57194553617,"Zenalden, Feras",Universiti Utara Malaysia
55262950100,"Ghasempour, Abdolreza",Universiti Utara Malaysia
56703660400,"Hassan, Kalthum",Universiti Utara Malaysia
56850314600,"Liow, Melissa Li Sa",Universiti Utara Malaysia
55184853800,"Wai, Chan Kah",Universiti Utara Malaysia
55990898000,"Kamaruddin, Roslina",Universiti Utara Malaysia
53876751400,"Abd-Razak, M. Z.",Universiti Utara Malaysia
7101735675,"Ahmad, Tahir",Universiti Utara Malaysia
56623098400,"Rabab'H, Belal Sadiq Hamed",Universiti Utara Malaysia
56584823100,"Darus, Amer Hj",Universiti Utara Malaysia
57204323509,"Yahya, Nora Dato",Universiti Utara Malaysia
56960634300,"Singh, Manvender Kaur Sarjit",Universiti Utara Malaysia
56958617200,"Al-Jaifi, Hamdan Amer Ali",Universiti Utara Malaysia
55991368900,"Alminshid, Khalid",Universiti Utara Malaysia
56067066400,"Osman, Wan Rozaini Sheik",Universiti Utara Malaysia
57191496674,"Alharbi, Mansour Mohammad",Universiti Utara Malaysia
57196424497,"Che-Ahmad, Ayoib",Universiti Utara Malaysia
55872616500,"Ali Abdullah, Alqahtani",Universiti Utara Malaysia
52663218000,"Abdul-Rahman, Syariza",Universiti Utara Malaysia
55091164900,"Som, Hishamudin Md",Universiti Utara Malaysia
57195419233,"Saoula, Oussama",Universiti Utara Malaysia
57191517568,"Okinono, Otega",Universiti Utara Malaysia
55931001100,"Isa, Azwardi Md",Universiti Utara Malaysia
57191253358,"Usman, Umar",Universiti Utara Malaysia
14055972700,"Haniffa, Roszaini",Universiti Utara Malaysia
57190338304,"Kibiya, Muhammad Umar",Universiti Utara Malaysia
57190307423,"Pahi, Munwar H.",Universiti Utara Malaysia
55617287300,"Al-Shugran, Mahmoud",Universiti Utara Malaysia
55837697300,"Alzboon, M. S.",Universiti Utara Malaysia
57193008388,"Jali, Mohd Razani Mohd",Universiti Utara Malaysia
